BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
213,260,16.4,391,259
215,260,16.4,392,259
216,259,16.4,393,259
219,258,16.4,395,258
221,257,16.4,397,258
223,255,16.4,398,258
224,253,16.4,399,257
224,252,16.4,399,257
224,250,16.4,399,255
224,249,16.4,398,254
223,249,16.4,397,255
223,248,16.4,396,255
221,250,16.7,395,255
220,251,16.7,393,255
218,250,16.7,391,255
215,253,16.7,387,255
211,258,16.7,384,256
209,259,16.7,382,256
209,259,16.7,381,257
208,259,16.7,380,256
206,258,16.7,379,255
206,258,16.7,378,254
207,257,16.7,379,252
208,257,16.7,380,251
209,256,16.7,380,247
210,253,16.7,381,243
212,250,16.7,383,239
214,248,16.7,385,235
216,246,16.7,387,232
217,245,16.7,388,231
217,245,16.7,389,232
217,245,16.7,389,232
218,245,16.7,389,231
218,244,16.7,390,232
219,244,16.7,391,232
220,244,16.7,392,232
220,243,16.7,392,231
220,243,16.7,392,231
220,243,16.7,392,231
221,243,16.7,392,231
222,244,16.7,394,232
223,244,16.7,395,231
223,244,16.7,395,231
223,243,16.7,396,231
224,243,16.7,396,230
223,243,16.7,395,230
224,243,16.7,396,230
224,243,16.7,396,230
223,242,16.7,396,229
223,242,16.7,395,228
223,242,16.7,394,227
221,242,16.7,393,225
220,242,16.7,392,225
220,241,16.7,392,223
220,241,16.7,392,222
220,241,16.7,392,222
219,240,16.7,391,220
219,239,16.7,391,219
219,239,16.7,391,218
219,238,16.7,391,216
219,237,16.7,391,216
219,237,16.7,392,215
220,236,16.7,392,215
219,236,16.7,392,215
220,236,16.7,393,215
222,236,16.7,394,215
224,237,16.7,397,215
226,238,16.7,398,215
227,238,16.7,399,216
227,239,16.7,400,216
228,238,16.7,400,216
229,238,16.7,402,216
229,239,16.7,402,216
231,240,16.7,404,216
231,240,16.7,404,216
231,240,16.7,404,217
230,240,16.7,403,216
229,240,16.7,402,215
229,239,16.6,402,215
230,238,16.6,403,215
231,237,16.6,404,214
232,237,16.6,405,214
232,237,16.6,406,214
233,236,16.6,406,213
233,236,16.6,406,213
233,236,16.6,406,214
233,236,16.6,406,214
233,235,16.6,407,213
235,233,16.6,409,213
238,235,16.6,411,214
241,234,16.6,414,215
243,233,16.6,417,214
244,231,16.6,418,214
245,228,16.6,419,214
246,227,16.6,420,213
247,226,16.7,422,212
249,224,16.7,423,212
250,222,16.7,424,211
251,222,16.7,425,211
250,223,16.7,425,211
249,224,16.7,423,210
248,224,16.7,422,208
249,224,16.7,422,206
249,224,16.7,422,204
250,223,16.7,423,202
251,223,16.7,424,201
251,223,16.7,424,200
251,223,16.7,424,200
251,225,16.7,424,200
251,226,16.7,423,200
250,227,16.1,423,200
250,227,16.1,423,200
250,229,16.1,423,201
250,230,16.1,423,201
251,230,16.1,423,202
252,231,16.1,424,203
253,232,16.1,426,205
254,232,16.1,428,207
