BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
247,16.9,314,264,142
247,16.9,312,265,141
247,16.9,311,266,139
247,16.9,310,267,139
247,16.9,308,269,137
248,16.9,307,270,136
249,16.5,307,271,137
250,16.5,307,273,137
251,16.5,306,274,136
252,16.5,305,276,136
253,16.5,306,278,136
255,16.5,307,280,138
256,16.5,309,282,139
257,16.5,311,283,141
257,16.5,311,283,141
257,16.5,310,284,140
257,16.5,309,284,139
257,16.5,308,284,139
257,16.5,309,284,139
257,16.5,310,285,140
257,16.5,310,285,140
257,16.5,311,285,140
259,16.5,310,286,139
260,16.8,310,286,138
259,16.8,310,285,138
260,16.8,310,284,138
259,16.8,311,283,139
259,16.8,313,282,140
259,16.8,312,281,140
258,16.8,311,279,139
258,16.8,310,278,137
258,16.8,309,277,137
258,16.8,309,277,137
257,16.8,309,276,136
257,16.8,308,276,136
256,16.8,309,275,136
255,16.8,310,274,137
255,16.8,309,273,136
255,16.8,308,272,135
254,16.6,307,270,133
253,16.6,305,269,132
253,16.6,304,268,130
253,16.6,304,267,130
252,16.6,303,267,129
252,16.6,303,266,129
252,16.6,303,266,129
251,16.6,303,265,128
251,16.6,302,264,127
251,16.6,301,263,126
250,16.6,300,262,125
251,16.6,301,263,126
251,16.6,303,265,128
254,16.6,306,269,131
256,16.6,308,274,133
259,16.6,309,279,134
261,16.6,310,282,135
265,16.9,309,285,135
269,16.9,306,289,132
271,16.9,303,292,130
273,16.9,303,293,129
273,16.9,304,293,131
272,16.9,308,293,134
273,16.9,310,294,136
273,16.9,310,296,136
273,16.9,309,296,136
271,16.9,310,295,137
271,16.9,311,294,138
269,16.9,311,293,138
268,16.9,311,294,139
267,16.9,312,292,139
267,16.9,313,292,140
267,16.9,313,291,140
266,16.9,313,290,141
266,16.8,314,287,141
265,16.8,314,285,142
265,16.8,315,283,142
265,16.8,315,283,141
265,16.8,315,281,141
263,16.8,315,279,142
263,16.8,315,277,142
263,16.8,316,275,142
263,16.8,317,273,143
262,16.8,317,272,143
262,16.8,317,270,142
263,16.8,317,269,143
263,16.8,318,269,143
262,16.8,318,268,144
263,16.8,319,268,144
263,16.8,319,268,144
263,16.9,319,268,144
263,16.9,319,268,144
264,16.9,319,268,145
263,16.9,320,267,146
263,16.9,320,266,146
264,16.9,321,266,147
265,16.9,321,266,147
265,16.9,322,266,147
265,16.9,321,266,147
263,16.9,320,266,147
262,16.9,318,266,144
262,16.9,317,266,143
261,16.9,315,265,142
260,16.9,314,264,141
261,16.9,313,263,139
260,16.9,312,263,139
259,16.9,311,262,138
259,16.6,311,261,138
259,16.6,311,260,138
259,16.6,311,261,138
260,16.6,309,262,137
261,16.6,309,262,136
260,16.6,309,262,136
261,16.6,309,264,136
261,16.6,307,263,135
261,16.6,305,263,132
261,16.6,303,262,131
261,16.6,304,261,131
260,16.6,303,261,131
260,16.6,303,260,130
260,16.6,301,259,129
259,16.6,301,258,129
258,16.6,299,256,127
257,16.6,298,255,127
256,16.6,297,253,125
256,16.6,297,252,125
256,16.6,297,252,125
256,16.6,297,251,125
256,16.6,297,249,125
256,16.6,297,248,125
256,16.6,296,247,124
256,16.6,295,246,124
