BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
197,16.6,365,163,195
197,16.4,364,163,194
197,16.4,364,163,194
197,16.4,364,163,194
196,16.4,364,163,195
196,16.4,365,163,194
196,16.4,364,163,194
196,16.4,364,163,194
196,16.4,364,163,194
196,16.4,364,163,194
196,16.4,365,163,194
196,16.4,364,163,194
196,16.4,364,164,194
196,16.4,364,164,193
195,16.4,364,165,193
195,16.4,364,166,193
194,16.4,364,166,193
194,16.4,364,167,192
193,16.6,364,167,192
192,16.6,364,167,192
192,16.6,364,167,192
192,16.6,364,167,192
191,16.6,363,167,191
191,16.6,363,166,191
191,16.6,363,166,191
190,16.6,362,166,191
190,16.6,362,165,190
189,16.6,361,164,189
188,16.6,360,164,189
188,16.6,360,164,189
188,16.6,360,164,188
188,16.6,360,163,189
187,16.6,360,162,188
188,16.6,360,162,189
187,16.7,361,161,189
186,16.7,360,161,189
186,16.7,360,160,188
186,16.7,360,160,189
186,16.7,360,159,188
185,16.7,359,158,187
184,16.7,360,157,188
184,16.7,361,155,189
183,16.7,361,155,189
183,16.7,361,154,189
183,16.7,362,152,190
183,16.7,363,151,191
182,16.7,363,149,192
180,16.7,361,147,191
181,16.7,360,146,190
181,16.7,360,145,189
180,16.7,361,145,190
181,16.3,361,144,191
181,16.3,362,143,192
181,16.3,363,142,193
182,16.3,364,141,194
182,16.3,365,140,195
182,16.3,366,140,196
183,16.3,367,140,197
183,16.3,369,140,199
182,16.3,370,139,200
182,16.3,372,138,202
182,16.3,373,137,204
182,16.3,374,137,204
182,16.3,375,136,206
182,16.3,376,134,208
181,16.3,377,133,209
180,16.3,379,133,209
180,16.3,379,133,210
180,16.6,379,133,210
179,16.6,379,133,210
178,16.6,379,132,210
178,16.6,380,132,211
178,16.6,381,132,212
178,16.6,382,133,212
179,16.6,381,133,212
181,16.6,380,134,212
182,16.6,379,135,210
181,16.6,378,135,209
181,16.6,379,135,210
182,16.6,379,136,210
183,16.6,378,138,209
184,16.6,376,140,208
186,16.6,375,141,207
186,16.6,375,142,206
186,16.6,375,143,206
186,16.6,375,143,206
187,16.6,373,145,205
190,16.6,372,147,204
190,16.6,371,148,203
191,16.6,370,149,202
192,16.6,371,149,202
191,16.6,369,150,201
191,16.6,368,150,200
192,16.6,367,151,199
192,16.6,366,151,198
192,16.6,365,151,196
192,16.6,364,152,196
193,16.6,364,152,196
194,16.6,363,153,196
194,16.6,363,153,195
194,16.6,361,153,194
194,16.9,360,152,193
194,16.9,359,151,192
195,16.9,359,151,192
195,16.9,357,150,191
195,16.9,357,151,190
196,16.9,355,152,188
197,16.9,354,152,187
198,16.9,353,151,187
199,16.9,352,152,185
200,16.9,352,154,185
201,16.9,353,154,185
202,16.9,353,155,186
203,16.9,352,155,186
204,16.9,352,156,185
205,16.9,352,156,185
206,16.9,352,156,185
206,16.9,352,157,185
208,16.7,352,158,186
209,16.7,352,158,185
210,16.7,351,158,185
210,16.7,351,159,185
210,16.7,351,159,185
211,16.7,351,159,185
211,16.7,351,159,185
210,16.7,352,159,185
211,16.7,352,159,185
211,16.7,351,158,185
210,16.7,351,158,185
210,16.7,351,158,184
210,16.7,351,157,185
210,16.7,351,157,185
210,16.7,350,157,183
210,16.7,349,157,183
209,16.8,350,157,183
210,16.8,350,157,183
210,16.8,350,157,183
210,16.8,349,157,183
210,16.8,350,157,183
210,16.8,349,157,183
210,16.8,350,157,183
210,16.8,349,157,183
210,16.8,349,157,183
210,16.8,349,157,183
210,16.8,348,156,182
209,16.8,348,156,181
209,16.8,348,156,181
210,16.8,348,156,182
210,16.8,349,157,183
210,16.8,350,155,185
207,16.7,351,152,186
204,16.7,352,150,187
204,16.7,353,150,187
205,16.7,353,151,187
205,16.7,353,150,187
204,16.7,353,148,189
203,16.7,355,148,190
204,16.7,356,148,192
205,16.7,358,148,195
206,16.7,359,149,195
206,16.7,359,149,195
207,16.7,359,150,195
208,16.7,360,149,196
208,16.7,361,149,198
208,16.7,363,148,200
206,16.7,363,148,201
206,16.7,363,147,200
205,16.7,363,147,201
204,16.9,363,146,200
206,16.9,363,146,200
206,16.9,363,146,200
206,16.9,363,145,200
206,16.9,363,145,200
206,16.9,362,145,200
206,16.9,362,145,201
206,16.9,362,144,200
205,16.9,363,144,202
206,16.9,364,143,202
206,16.9,364,143,203
206,16.9,364,143,204
206,16.9,365,143,204
206,16.9,365,142,205
206,16.9,365,142,205
206,15.7,365,142,205
206,15.7,365,142,204
206,15.7,365,142,204
206,15.7,365,142,204
206,15.7,365,142,204
206,15.7,364,142,203
205,15.7,364,142,203
204,15.7,364,142,203
204,15.7,364,142,202
204,15.7,363,142,202
203,15.7,363,141,201
202,15.7,362,141,200
202,15.7,362,141,200
201,15.7,362,141,200
202,15.7,363,141,200
202,15.7,363,141,200
201,15.7,363,141,199
201,16.2,362,141,199
200,16.2,362,141,199
200,16.2,363,141,199
200,16.2,362,141,198
199,16.2,361,141,198
199,16.2,361,142,197
198,16.2,361,143,196
198,16.2,360,143,195
197,16.2,359,144,194
197,16.2,358,145,192
196,16.2,358,145,192
197,16.2,358,146,192
197,16.2,358,146,193
197,16.2,359,146,193
198,16.2,359,147,193
199,16.2,358,148,193
199,16.2,359,149,193
200,16.6,359,150,193
202,16.6,359,151,194
202,16.6,359,152,194
202,16.6,360,152,195
202,16.6,359,152,195
203,16.6,359,152,195
204,16.6,359,152,195
205,16.6,359,152,196
206,16.6,359,151,196
206,16.6,359,152,196
207,16.6,358,152,197
208,16.6,358,151,196
208,16.6,358,151,197
208,16.6,358,150,198
208,16.6,358,149,198
208,16.6,358,147,198
208,16.5,357,146,199
207,16.5,358,145,199
