BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
148,16.6,331,153,158
148,16.6,331,153,157
147,16.6,331,152,157
147,16.6,331,152,157
147,16.6,330,151,157
146,16.6,328,150,155
146,16.6,327,149,155
146,16.6,328,150,155
145,16.6,328,150,156
145,16.6,327,149,155
144,16.6,327,148,154
144,16.6,327,148,154
144,16.6,327,148,155
144,16.6,327,148,155
144,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,154
143,16.6,327,147,155
143,16.6,327,147,154
143,16.6,327,147,155
142,16.6,326,147,154
142,16.6,325,146,154
142,16.7,325,146,153
142,16.7,325,146,154
141,16.7,325,146,153
141,16.7,324,146,153
141,16.7,324,146,153
141,16.7,324,146,153
141,16.7,325,146,153
141,16.7,325,146,153
140,16.7,324,146,153
140,16.7,324,146,152
141,16.7,325,147,154
141,16.7,326,146,154
141,16.7,326,146,154
141,16.7,327,146,155
142,16.7,329,146,157
142,16.7,330,146,157
143,16.7,331,146,159
143,16.4,333,145,160
143,16.4,333,144,161
143,16.4,333,144,161
143,16.4,334,144,161
143,16.4,335,144,162
143,16.4,335,144,163
143,16.4,336,143,164
143,16.4,337,142,164
142,16.4,337,140,165
142,16.4,338,139,166
142,16.4,339,137,167
142,16.4,340,136,167
143,16.4,341,135,169
143,16.4,343,134,170
143,16.4,345,134,172
143,16.4,345,134,172
142,16.4,344,133,171
142,16.6,343,133,171
142,16.6,343,133,170
142,16.6,343,133,170
143,16.6,343,133,170
143,16.6,343,134,170
143,16.6,343,134,170
144,16.6,343,134,170
144,16.6,343,135,170
145,16.6,343,135,169
145,16.6,343,136,170
146,16.6,343,137,169
146,16.6,343,137,169
147,16.6,342,138,169
147,16.6,342,139,169
147,16.6,342,140,168
148,16.6,341,141,168
148,16.6,341,142,168
149,16.9,341,143,168
150,16.9,341,144,168
151,16.9,342,146,169
152,16.9,342,148,169
153,16.9,341,149,168
154,16.9,340,150,167
154,16.9,340,152,167
155,16.9,341,153,167
156,16.9,340,154,167
156,16.9,339,155,166
156,16.9,337,156,165
157,16.9,337,158,165
158,16.9,337,160,165
159,16.9,337,161,164
159,16.9,336,161,164
160,16.9,335,162,163
161,16.9,335,162,162
161,16.9,333,162,161
161,16.9,332,162,159
162,16.9,330,161,157
162,16.9,328,160,155
162,16.9,326,160,154
163,16.9,325,159,153
163,16.9,323,159,151
162,16.9,321,157,149
163,16.9,319,156,147
164,16.9,316,156,145
165,16.9,316,156,144
166,16.9,316,156,144
167,16.9,315,156,144
168,16.9,315,158,144
168,16.9,318,158,147
168,16.9,319,157,148
168,16.7,319,156,148
168,16.7,320,156,149
167,16.7,320,155,149
167,16.7,320,155,149
167,16.7,320,154,149
167,16.7,321,154,150
166,16.7,321,153,151
166,16.7,321,153,151
166,16.7,321,154,151
167,16.7,321,154,150
166,16.7,321,154,151
166,16.7,322,153,151
166,16.7,323,153,152
166,16.7,323,153,152
166,16.7,323,152,153
164,16.7,324,152,154
164,16.9,325,151,154
163,16.9,325,150,154
163,16.9,325,150,154
163,16.9,326,150,155
164,16.9,327,150,156
163,16.9,327,150,156
163,16.9,327,150,156
162,16.9,327,149,155
162,16.9,327,149,156
162,16.9,327,148,155
162,16.9,327,148,155
162,16.9,329,147,157
162,16.9,331,147,158
161,16.9,331,147,158
161,16.9,331,146,158
162,16.9,332,146,159
161,16.9,333,146,160
162,16.7,334,146,160
161,16.7,334,145,160
161,16.7,335,145,161
162,16.7,335,145,161
162,16.7,335,145,161
161,16.7,335,145,161
160,16.7,335,145,161
160,16.7,335,145,161
160,16.7,335,145,161
160,16.7,335,144,161
161,16.7,335,145,161
161,16.7,335,145,161
161,16.7,336,145,162
161,16.7,336,144,162
161,16.7,336,144,162
160,16.7,337,144,163
161,16.7,338,143,164
160,16.7,339,141,165
160,16.7,340,141,166
160,16.7,341,139,167
159,16.7,341,137,168
157,16.7,343,135,169
156,16.7,344,133,170
156,16.7,345,131,171
155,16.7,346,129,172
154,16.7,347,127,174
153,16.7,349,125,175
152,16.7,350,124,177
150,16.7,351,123,178
148,16.7,352,122,179
148,16.7,354,122,181
148,16.7,355,121,182
146,16.7,357,121,184
145,16.7,358,120,185
145,16.7,359,120,186
144,16.7,361,120,187
144,16.7,363,120,190
146,16.7,364,120,191
148,16.7,364,121,192
150,16.7,364,122,192
151,16.7,364,122,193
150,16.7,364,122,193
149,16.7,363,120,192
149,16.7,364,120,193
150,16.7,365,120,194
151,16.7,366,121,195
152,16.7,365,121,195
152,16.7,365,122,195
152,16.7,365,121,195
151,16.7,365,121,195
152,16.6,366,122,195
151,16.6,366,122,195
152,16.6,366,122,195
152,16.6,366,122,195
152,16.6,366,123,195
152,16.6,366,123,195
153,16.6,367,124,196
153,16.6,367,124,197
153,16.6,367,124,197
153,16.6,367,124,196
153,16.6,367,124,196
153,16.6,367,125,195
153,16.6,366,125,195
154,16.6,366,125,195
154,16.6,366,125,195
154,16.6,366,125,195
154,16.6,366,126,195
154,16.7,367,126,195
154,16.7,368,126,196
154,16.7,367,126,195
154,16.7,367,126,195
154,16.7,366,126,195
153,16.7,366,126,194
153,16.7,366,126,194
152,16.7,366,126,193
152,16.7,366,126,193
152,16.7,365,126,193
152,16.7,365,125,193
151,16.7,365,124,192
150,16.7,365,124,192
150,16.7,366,123,193
150,16.7,367,123,194
149,16.7,367,122,195
149,16.7,367,122,195
150,16.7,368,122,195
149,16.7,367,122,195
149,16.7,365,122,193
150,16.7,364,122,192
150,16.7,362,122,191
150,16.7,361,122,189
150,16.7,360,123,189
152,16.7,360,124,189
154,16.7,360,126,188
154,16.7,359,127,188
153,16.7,357,127,186
154,16.7,355,128,184
155,16.7,355,129,184
155,16.7,356,130,184
155,16.7,356,131,185
154,16.7,355,131,184
154,16.5,353,132,181
154,16.5,351,133,180
154,16.5,351,134,180
154,16.5,351,134,180
154,16.5,351,135,179
154,16.5,350,135,179
154,16.5,350,136,179
155,16.5,350,137,178
154,16.5,350,137,178
154,16.5,350,138,178
154,16.5,351,138,179
154,16.5,351,138,179
154,16.5,351,138,179
153,16.5,351,138,179
152,16.5,350,137,178
151,16.5,350,137,177
151,16.5,350,137,177
150,16.5,351,137,178
149,16.5,351,136,178
148,16.5,350,135,177
147,16.5,349,135,176
147,16.5,349,135,176
146,16.5,350,134,177
145,16.5,350,134,176
143,16.5,349,133,176
143,16.5,349,132,176
142,16.5,349,132,175
141,16.5,349,131,175
140,16.5,349,129,175
138,16.5,349,128,175
137,16.5,348,127,175
134,16.5,347,126,174
133,16.5,347,125,173
132,16.3,346,124,173
132,16.3,346,124,173
131,16.3,347,123,173
131,16.3,346,123,172
131,16.3,346,123,173
131,16.3,346,123,172
131,16.3,346,122,173
130,16.3,346,122,173
130,16.3,346,122,173
130,16.3,347,122,173
129,16.3,347,121,173
128,16.3,346,120,173
127,16.3,346,119,172
126,16.3,346,118,172
125,16.3,345,117,172
125,16.3,345,116,171
124,16.3,345,115,171
123,16.4,344,114,171
123,16.4,344,114,170
123,16.4,343,113,170
123,16.4,343,113,170
122,16.4,342,112,169
123,16.4,341,112,168
123,16.4,341,112,168
123,16.4,341,112,168
123,16.4,340,112,167
123,16.4,339,112,166
124,16.4,339,112,166
124,16.4,339,113,165
124,16.4,338,112,165
124,16.4,338,112,164
126,16.4,337,112,164
126,16.4,337,112,163
126,16.5,337,112,163
127,16.5,337,112,163
127,16.5,337,112,163
128,16.5,338,113,164
129,16.5,338,114,164
129,16.5,338,114,164
130,16.5,338,114,164
130,16.5,338,115,165
131,16.5,339,115,165
131,16.5,339,115,165
131,16.5,338,116,165
132,16.5,338,117,164
134,16.5,337,119,164
135,16.5,338,120,164
136,16.5,338,122,164
138,16.5,337,124,164
139,16.5,337,126,164
141,16.7,337,128,163
142,16.7,337,130,163
143,16.7,336,133,163
144,16.7,336,135,162
146,16.7,337,137,163
147,16.7,335,138,163
147,16.7,332,138,159
148,16.7,329,139,157
149,16.7,329,141,156
150,16.7,329,142,156
149,16.7,328,141,156
147,16.7,327,141,155
146,16.7,327,141,155
147,16.7,326,142,154
146,16.7,325,142,153
146,16.7,325,141,153
148,16.7,323,142,152
147,16.3,323,141,151
146,16.3,321,140,151
147,16.3,320,140,149
149,16.3,319,140,149
148,16.3,318,140,147
148,16.3,317,139,147
148,16.3,316,139,145
148,16.3,315,138,144
147,16.3,313,137,143
147,16.3,313,137,142
147,16.3,312,137,141
147,16.3,311,136,140
147,16.3,309,135,139
146,16.3,307,134,137
147,16.3,307,134,137
147,16.3,307,135,137
147,16.3,307,134,136
147,16.9,307,134,136
147,16.9,307,134,136
147,16.9,307,133,136
147,16.9,307,133,136
146,16.9,307,133,137
145,16.9,308,132,137
144,16.9,308,132,137
144,16.9,309,131,137
146,16.9,309,131,137
146,16.9,310,131,137
146,16.9,311,131,139
145,16.9,313,130,140
146,16.9,313,130,140
147,16.9,314,130,141
147,16.9,314,131,141
148,16.9,315,131,141
148,16.9,316,131,142
