BLUE_X,BLUE_Y,FPS,RED_X,RED_Y
160,283,16.6,334,264
161,283,16.6,335,264
163,283,16.6,336,264
164,284,16.6,338,263
166,284,16.6,340,263
168,285,16.6,342,262
170,285,16.6,344,260
171,285,16.6,345,259
171,285,16.6,344,258
169,284,16.6,343,258
169,285,16.6,342,258
169,285,16.6,342,257
169,283,16.6,342,257
169,283,16.6,342,257
168,282,16.6,342,257
167,281,16.6,341,257
166,280,16.6,340,258
165,281,16.6,339,258
163,280,16.6,338,259
163,281,16.6,337,259
163,281,16.6,337,259
163,283,16.6,338,260
163,283,16.6,338,261
163,283,16.6,338,261
163,283,16.7,338,261
163,283,16.7,338,261
163,283,16.7,338,261
163,283,16.7,337,262
162,283,16.7,337,263
161,283,16.7,336,263
160,284,16.7,334,265
158,286,16.7,332,267
155,288,16.7,330,268
154,287,16.7,328,269
153,287,16.7,328,270
153,285,16.7,329,271
153,285,16.7,329,271
154,284,16.7,329,273
154,286,16.7,329,274
154,286,16.7,330,275
153,287,16.7,329,276
153,287,16.6,328,277
151,287,16.6,327,279
150,288,16.6,326,279
149,287,16.6,325,280
149,289,16.6,325,281
149,289,16.6,325,282
148,289,16.6,325,284
147,289,16.6,324,285
146,290,16.6,323,285
146,290,16.6,323,286
146,291,16.6,323,286
146,290,16.6,323,286
146,290,16.6,323,286
146,289,16.6,322,286
145,290,16.6,321,285
144,289,16.6,319,284
141,290,16.6,317,284
140,290,16.6,317,284
140,290,16.6,316,284
139,290,16.6,315,283
139,292,16.6,315,283
138,292,16.6,314,282
138,292,16.6,314,283
137,292,16.6,313,284
135,293,16.6,312,285
135,294,16.6,312,286
137,295,16.6,314,289
141,297,16.6,318,291
146,300,16.6,323,295
149,303,16.6,327,299
152,304,16.6,330,302
153,306,16.6,331,305
153,308,16.6,331,308
153,309,16.3,331,310
154,309,16.3,331,312
155,310,16.3,332,313
155,310,16.3,332,315
155,311,16.3,332,317
155,310,16.3,331,317
156,311,16.3,332,318
157,311,16.3,333,318
156,309,16.3,332,318
155,309,16.3,332,317
155,309,16.3,332,317
156,309,16.3,332,316
156,309,16.3,332,315
155,309,16.3,332,316
155,310,16.3,332,317
155,309,16.3,332,317
156,310,16.3,332,315
156,310,16.8,333,315
156,310,16.8,333,313
156,309,16.8,334,311
157,307,16.8,334,309
157,306,16.8,334,306
157,305,16.8,335,304
157,305,16.8,335,302
157,305,16.8,335,300
157,305,16.8,335,300
157,305,16.8,336,299
158,305,16.8,336,298
159,305,16.8,337,298
159,306,16.8,338,299
159,307,16.8,337,299
158,307,16.8,335,298
155,307,16.8,333,297
156,308,16.8,333,298
157,310,16.8,334,300
157,311,16.8,334,300
157,311,16.8,334,301
155,313,16.8,333,302
157,313,16.8,333,303
157,314,16.8,333,304
158,315,16.8,334,305
159,316,16.8,335,306
159,317,16.8,336,307
161,319,16.8,337,308
161,320,16.8,338,307
163,320,16.8,339,306
164,320,16.8,340,305
164,321,16.8,341,304
165,321,16.8,341,303
166,321,16.8,341,302
167,320,16.9,342,300
168,321,16.9,343,300
168,321,16.9,344,298
170,321,16.9,345,297
172,320,16.9,347,297
173,319,16.9,349,295
175,318,16.9,350,295
177,318,16.9,352,295
178,317,16.9,354,293
178,316,16.9,354,293
178,315,16.9,354,292
177,315,16.9,352,290
176,317,16.9,351,289
177,316,16.9,352,287
179,315,16.9,354,286
179,316,16.9,354,284
178,319,16.9,352,282
178,319,16.8,351,280
179,318,16.8,352,277
181,316,16.8,354,275
183,314,16.8,357,273
185,313,16.8,358,272
186,312,16.8,359,270
186,310,16.8,360,269
187,307,16.8,361,267
188,305,16.8,362,264
188,304,16.8,362,263
189,303,16.8,363,262
189,303,16.8,363,261
190,302,16.8,364,260
190,302,16.8,364,259
191,301,16.8,364,259
191,301,16.8,364,259
191,301,16.6,365,259
191,301,16.6,365,259
192,301,16.6,365,259
192,299,16.6,366,258
192,298,16.6,366,258
191,297,16.6,365,257
190,296,16.6,364,257
189,296,16.6,363,259
188,297,16.6,362,260
187,297,16.6,362,261
186,297,16.6,361,263
186,298,16.6,361,264
185,299,16.6,361,264
186,299,16.6,362,265
187,299,16.6,363,266
188,299,16.6,363,267
188,299,16.6,363,267
188,300,16.4,363,268
189,299,16.4,364,269
190,301,16.4,366,270
191,302,16.4,367,271
194,303,16.4,369,273
196,305,16.4,371,271
199,304,16.4,374,270
201,303,16.4,375,272
201,304,16.4,376,271
202,305,16.4,376,270
203,306,16.4,377,272
204,307,16.4,379,274
205,308,16.4,379,274
205,309,16.4,379,275
204,310,16.4,378,276
204,312,16.4,378,277
204,313,16.4,378,277
204,315,16.7,377,276
204,315,16.7,377,275
205,315,16.7,378,275
206,316,16.7,379,275
204,316,16.7,377,275
202,318,16.7,374,274
200,319,16.7,371,274
199,320,16.7,370,273
198,321,16.7,369,273
198,321,16.7,368,272
198,322,16.7,368,272
198,322,16.7,368,271
198,321,16.7,367,270
198,320,16.7,367,269
198,317,16.7,368,268
198,316,16.7,370,268
200,316,16.6,371,268
201,315,16.6,373,268
201,314,16.6,374,269
202,312,16.6,375,269
202,311,16.6,376,269
202,310,16.6,376,270
202,309,16.6,377,271
202,309,16.6,376,272
202,308,16.6,377,272
202,308,16.6,377,273
201,307,16.6,376,274
200,307,16.6,376,275
199,307,16.6,375,277
199,307,16.6,375,278
197,307,16.6,374,279
196,307,16.6,372,280
195,307,16.6,372,281
194,307,16.6,371,282
194,308,16.6,371,284
194,308,16.6,371,284
193,309,16.6,371,285
194,311,16.6,371,287
193,312,16.6,370,287
192,312,16.6,370,287
192,312,16.6,370,287
193,311,16.6,370,288
193,311,16.6,371,288
