BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
190,16.8,350,173,175
189,16.7,350,173,175
188,16.7,350,172,175
188,16.7,349,172,174
188,16.7,347,172,173
187,16.7,346,171,171
187,16.7,345,171,170
187,16.7,344,171,170
188,16.7,344,171,169
191,16.7,342,172,169
193,16.7,341,174,167
192,16.7,341,174,167
193,16.7,341,174,167
193,16.7,341,175,167
193,16.7,341,175,167
195,16.7,342,175,168
199,16.7,342,176,169
201,16.7,341,179,168
202,16.8,340,180,166
202,16.8,339,180,166
202,16.8,339,180,165
204,16.8,339,181,165
206,16.8,338,182,165
208,16.8,338,183,165
209,16.8,338,183,165
210,16.8,338,184,165
215,16.8,337,186,168
222,16.8,337,188,167
224,16.8,335,189,165
225,16.8,333,189,164
226,16.8,333,189,163
228,16.8,333,190,164
229,16.8,332,190,164
229,16.8,331,190,163
231,16.8,331,190,163
231,16.4,331,191,163
232,16.4,331,191,163
233,16.4,330,191,163
232,16.4,329,190,162
233,16.4,327,190,161
234,16.4,326,191,160
233,16.4,326,190,160
233,16.4,324,190,159
233,16.4,323,190,157
233,16.4,322,190,157
233,16.4,323,189,157
232,16.4,325,189,159
232,16.4,325,188,159
232,16.4,326,188,160
232,16.4,325,187,160
233,16.4,324,187,159
233,16.9,323,187,158
233,16.9,325,187,160
233,16.9,328,187,163
234,16.9,331,187,165
235,16.9,332,187,167
234,16.9,333,187,167
234,16.9,335,187,169
234,16.9,335,188,169
235,16.9,337,189,171
235,16.9,338,190,172
235,16.9,340,191,173
236,16.9,341,191,174
235,16.9,342,192,175
236,16.9,343,192,176
235,16.9,344,192,177
235,16.9,344,192,177
235,16.9,345,193,177
235,16.6,345,193,177
235,16.6,345,194,177
235,16.6,345,195,177
236,16.6,345,195,177
237,16.6,344,196,177
238,16.6,344,197,177
240,16.6,345,198,178
240,16.6,345,198,177
240,16.6,345,199,177
240,16.6,345,199,177
241,16.6,345,199,177
242,16.6,345,200,177
244,16.6,345,202,177
245,16.6,344,202,177
246,16.6,343,203,176
247,16.6,343,203,175
248,16.6,343,203,175
249,16.7,344,201,177
248,16.7,344,200,177
249,16.7,343,200,176
249,16.7,342,200,175
250,16.7,342,200,176
250,16.7,342,200,176
250,16.7,341,199,175
251,16.7,340,199,175
251,16.7,339,199,175
252,16.7,339,199,174
253,16.7,339,200,175
254,16.7,340,201,175
255,16.7,340,201,175
255,16.7,339,201,175
256,16.7,339,201,174
257,16.7,339,201,174
257,16.8,338,202,175
257,16.8,339,202,175
258,16.8,340,202,176
259,16.8,340,203,176
259,16.8,340,202,176
260,16.8,339,203,176
260,16.8,339,204,175
260,16.8,340,205,175
261,16.8,341,205,176
261,16.8,341,205,176
262,16.8,340,205,175
262,16.8,340,206,176
262,16.8,340,206,176
261,16.8,341,205,176
261,16.8,341,205,176
261,16.8,341,205,176
261,16.8,342,205,177
261,16.6,342,205,177
261,16.6,343,205,177
261,16.6,343,205,177
261,16.6,343,205,177
261,16.6,343,206,177
261,16.6,344,206,179
260,16.6,345,206,179
259,16.6,345,205,179
259,16.6,345,205,178
259,16.6,346,206,179
258,16.6,347,206,179
258,16.6,347,207,180
258,16.6,347,207,179
258,16.6,347,207,180
257,16.6,348,207,180
257,16.6,348,207,181
257,16.6,349,208,181
257,16.7,350,208,181
257,16.7,351,208,182
257,16.7,351,209,183
257,16.7,351,209,182
257,16.7,351,209,182
257,16.7,351,209,182
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
257,16.7,351,209,183
256,16.7,351,209,183
256,16.5,352,209,183
255,16.5,353,208,185
255,16.5,355,209,187
256,16.5,356,209,187
256,16.5,356,209,188
255,16.5,357,209,189
256,16.5,357,209,189
256,16.5,358,209,190
255,16.5,359,209,191
256,16.5,360,210,192
255,16.5,359,210,192
257,16.5,358,211,191
259,16.5,357,211,190
257,16.5,357,210,190
257,16.5,357,209,191
256,16.5,357,209,190
255,16.5,357,207,190
255,16.7,357,206,190
254,16.7,356,203,190
254,16.7,356,201,190
253,16.7,356,200,190
253,16.7,355,198,189
252,16.7,355,195,190
251,16.7,355,194,189
246,16.7,357,189,191
245,11.4,358,188,192
245,11.4,360,188,194
244,11.4,361,187,195
243,11.4,362,186,195
242,11.4,363,185,196
241,11.4,365,185,197
239,11.4,366,184,198
238,11.4,367,183,199
237,11.4,368,183,199
237,11.4,368,183,199
236,11.4,368,183,199
236,11.4,368,182,199
235,11.4,368,182,199
235,11.4,369,183,199
235,11.4,369,183,199
234,11.4,369,183,200
233,11.4,370,184,200
233,14.2,371,185,201
233,14.2,371,185,201
233,14.2,372,186,201
233,14.2,373,187,202
233,14.2,374,188,203
235,14.2,374,189,204
237,14.2,373,190,204
238,14.2,373,191,203
240,14.2,373,192,204
241,14.2,373,193,203
242,14.2,372,194,203
243,14.2,371,195,202
244,14.2,369,196,201
245,14.2,367,196,199
246,14.2,366,197,199
248,14.2,367,199,200
249,14.2,367,200,201
250,15.8,366,201,200
251,15.8,365,202,199
252,15.8,364,203,199
252,15.8,363,203,197
252,15.8,363,203,197
252,15.8,363,203,197
251,15.8,364,203,198
252,15.8,364,203,199
251,15.8,364,202,199
252,15.8,364,202,199
252,15.8,365,202,199
252,15.8,365,202,199
252,15.8,364,202,199
252,15.8,364,202,199
252,15.8,364,202,199
252,15.8,364,202,199
252,16.3,364,202,199
253,16.3,364,202,199
253,16.3,363,202,198
253,16.3,363,202,198
253,16.3,363,202,197
252,16.3,363,203,197
253,16.3,363,203,197
254,16.3,363,203,197
255,16.3,363,203,197
255,16.3,363,203,197
256,16.3,362,203,196
255,16.3,363,203,196
254,16.3,363,203,196
253,16.3,363,203,195
253,16.3,362,202,195
253,16.3,361,202,194
254,16.3,360,202,193
253,16.5,360,202,193
253,16.5,360,202,192
251,16.5,361,201,193
251,16.5,361,202,193
251,16.5,361,202,192
252,16.5,360,202,191
252,16.5,359,203,190
251,16.5,359,204,190
251,16.5,357,204,188
251,16.5,355,203,186
251,16.5,353,202,184
251,16.5,351,203,183
253,16.5,351,205,183
253,16.5,351,206,183
254,16.5,350,208,182
255,16.5,349,210,181
256,16.6,348,211,181
257,16.6,348,212,180
257,16.6,348,213,181
257,16.6,348,214,181
258,16.6,348,215,181
258,16.6,348,215,181
258,16.6,349,215,181
258,16.6,349,215,181
258,16.6,349,215,181
259,16.6,349,215,181
258,16.6,349,215,181
258,16.6,348,214,181
259,16.6,348,214,181
259,16.6,347,213,181
258,16.6,346,214,180
259,16.6,345,213,179
258,16.6,343,214,177
258,16.9,343,214,177
258,16.9,343,214,177
257,16.9,343,213,177
257,16.9,343,213,177
257,16.9,344,213,179
255,16.9,345,211,181
255,16.9,346,210,181
255,16.9,346,209,181
255,16.9,346,207,181
255,16.9,345,206,181
255,16.9,345,204,181
255,16.9,345,202,181
255,16.9,344,202,181
256,16.9,345,201,181
257,16.9,345,200,182
258,16.9,346,199,183
259,16.9,347,199,184
259,16.8,346,199,184
261,16.8,346,199,184
262,16.8,348,199,185
263,16.8,349,199,187
264,16.8,349,199,187
265,16.8,351,200,189
267,16.8,352,201,190
267,16.8,353,202,191
269,16.8,353,203,191
270,16.8,354,205,191
270,16.8,356,206,193
272,16.8,357,207,194
273,16.8,357,208,195
274,16.8,358,209,194
275,16.8,359,209,195
276,16.8,359,211,195
277,16.8,359,211,196
277,16.8,359,212,196
277,16.8,360,214,196
277,16.8,361,215,196
277,16.8,362,215,197
277,16.8,362,216,197
278,16.8,362,218,197
278,16.8,363,219,197
278,16.8,363,219,197
279,16.8,363,221,197
279,16.8,363,221,196
278,16.8,365,222,198
277,16.8,367,222,199
277,16.8,368,222,200
277,16.8,368,223,200
276,16.8,369,223,200
275,16.8,371,223,202
275,16.9,371,223,202
273,16.9,370,223,201
273,16.9,369,223,200
272,16.9,368,223,198
271,16.9,366,223,196
269,16.9,364,223,194
267,16.9,362,222,192
267,16.9,359,222,190
265,16.9,357,221,189
263,16.9,356,220,187
263,16.9,353,219,185
262,16.9,351,218,183
261,16.9,349,216,182
261,16.9,348,215,181
259,16.9,346,213,179
259,16.9,344,211,178
257,16.9,342,208,176
255,16.4,340,206,175
254,16.4,338,204,173
253,16.4,337,202,173
251,16.4,335,200,171
250,16.4,334,198,170
250,16.4,333,197,169
249,16.4,332,195,169
248,16.4,332,195,169
247,16.4,333,193,169
247,16.4,333,193,169
246,16.4,334,191,170
246,16.4,335,190,171
246,16.4,335,191,171
246,16.4,337,191,172
247,16.4,338,190,173
247,16.4,339,190,175
247,16.4,341,189,176
248,16.8,343,189,178
250,16.8,345,189,181
252,16.8,347,189,183
254,16.8,349,189,184
256,16.8,350,189,186
257,16.8,351,189,188
258,16.8,353,189,190
259,16.8,356,189,192
261,16.8,358,190,195
263,16.8,359,191,197
265,16.8,361,193,198
266,16.8,362,193,199
266,16.8,363,193,200
267,16.8,365,194,201
266,16.8,367,195,203
266,16.8,368,194,204
267,16.8,369,194,206
267,16.8,371,195,208
268,16.8,373,195,210
268,16.8,374,195,211
268,16.8,375,195,212
268,16.8,375,195,212
267,16.8,375,195,213
265,16.8,377,194,214
264,16.8,378,194,215
262,16.8,378,194,215
261,16.8,379,193,215
259,16.8,379,193,215
256,16.8,379,191,215
253,16.8,379,191,214
253,16.8,379,190,213
252,16.8,378,190,213
251,16.8,378,190,213
251,16.7,378,189,212
250,16.7,378,189,212
250,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,212
249,16.7,377,189,211
249,16.7,377,189,211
249,16.7,377,189,211
249,16.7,377,189,211
249,16.7,377,189,211
