BLUE_Y,FPS,RED_X,RED_Y,BLUE_X
222,16.7,395,217,220
223,16.7,394,218,219
223,16.7,392,220,218
224,16.7,392,221,217
225,16.7,392,223,217
226,16.7,391,225,217
227,16.7,391,228,217
229,16.7,390,230,217
229,16.7,390,231,216
230,16.7,390,232,216
232,16.7,390,234,217
233,16.7,391,236,217
234,16.7,392,237,218
234,16.7,391,237,217
235,16.7,391,237,217
235,16.7,392,238,218
236,16.7,393,239,219
237,16.7,395,240,220
237,16.6,396,240,221
238,16.6,396,241,221
238,16.6,396,241,221
238,16.6,396,242,221
240,16.6,396,242,221
239,16.6,396,242,221
239,16.6,394,240,219
239,16.6,394,238,219
238,16.6,395,237,219
237,16.6,396,236,220
238,16.6,396,236,221
238,16.6,396,235,221
238,16.6,396,234,220
238,16.6,395,233,219
237,16.6,394,232,219
237,16.6,393,231,218
237,16.6,394,230,218
236,16.6,394,229,219
236,16.6,393,227,218
235,16.6,392,226,216
234,16.6,389,224,214
234,16.6,388,223,213
233,16.6,389,223,213
233,16.6,388,222,212
232,16.6,387,221,211
233,16.6,385,220,209
232,16.6,385,220,209
232,16.6,385,219,209
232,16.6,386,219,209
232,16.6,386,219,210
231,16.6,387,220,211
231,16.6,389,221,212
231,16.6,391,221,214
231,16.6,392,221,215
231,16.6,393,220,216
230,16.6,394,220,217
230,16.6,396,221,219
233,16.6,397,224,220
237,16.6,396,229,219
242,16.6,394,234,219
248,16.6,393,239,217
252,16.6,394,243,218
255,16.6,395,245,219
256,16.6,395,246,219
256,16.6,396,247,220
257,16.6,397,248,221
259,16.6,398,249,222
257,16.6,399,246,223
254,16.6,400,244,225
250,16.6,401,242,226
248,16.3,402,241,227
247,16.3,403,240,228
247,16.3,403,238,228
246,16.3,404,237,229
246,16.3,404,235,229
245,16.3,404,234,229
246,16.3,404,232,229
246,16.3,404,230,230
247,16.3,404,227,230
251,16.3,403,227,232
262,16.3,400,228,229
268,16.3,400,229,229
270,16.3,401,229,231
271,16.3,403,229,232
271,16.3,403,229,232
270,16.3,402,228,232
271,16.7,402,227,232
272,16.7,403,227,233
272,16.7,403,226,233
272,16.7,403,226,233
272,16.7,404,226,234
272,16.7,404,226,235
272,16.7,403,226,234
