63, 536, 530, 6.00, 254, 248, 6.00, 240.00, 240.00, 0.15, 0.15
64, 533, 531, 3.00, 260, 249, 12.00, 120.00, 480.00, 0.08, 0.30
65, 533, 529, 4.00, 260, 253, 7.00, 280.00, 760.00, 0.03, -0.12
66, 531, 524, 7.00, 267, 256, 12.00, 280.00, 480.00, 0.17, 0.30
67, 531, 523, 8.00, 267, 259, 9.00, 600.00, 840.00, 0.03, -0.08
68, 529, 524, 5.00, 274, 264, 10.00, 200.00, 400.00, 0.12, 0.25
69, 527, 521, 6.00, 278, 266, 12.00, 240.00, 480.00, 0.15, 0.30
70, 527, 518, 9.00, 278, 272, 6.00, 600.00, 720.00, 0.08, -0.15
71, 526, 519, 7.00, 282, 279, 3.00, 280.00, 120.00, 0.17, 0.08
72, 525, 516, 9.00, 286, 280, 6.00, 360.00, 240.00, 0.22, 0.15
73, 525, 515, 10.00, 290, 284, 7.00, 400.00, 280.00, 0.25, 0.17
74, 525, 481, 44.00, 294, 272, 23.00, 1760.00, 920.00, 1.10, 0.57
75, 525, 525, 0.00, 294, 292, 2.00, 1760.00, 1000.00, -1.10, -0.52
76, 525, 529, -4.00, 298, 283, 5.00, -160.00, 200.00, -0.10, 0.12
77, 525, 518, 7.00, 301, 297, 3.00, 280.00, 120.00, 0.17, 0.08
78, 526, 512, 14.00, 304, 298, 6.00, 560.00, 240.00, 0.35, 0.15
79, 526, 480, 44.00, 304, 286, 19.00, 2320.00, 1000.00, 0.75, 0.32
80, 526, 530, -3.00, 304, 304, 0.00, 2200.00, 1000.00, -1.17, -0.47
81, 527, 499, 29.00, 307, 290, 17.00, 1160.00, 680.00, 0.73, 0.43
82, 527, 534, -7.00, 307, 307, 0.00, 880.00, 680.00, -0.90, -0.43
83, 529, 529, 0.00, 309, 309, 0.00, 0.00, 0.00, 0.00, 0.00
84, 531, 486, 45.00, 311, 293, 18.00, 1800.00, 720.00, 1.12, 0.45
85, 531, 531, 1.00, 311, 310, 1.00, 1840.00, 760.00, -1.10, -0.43
86, 533, 535, -1.00, 312, 311, 1.00, -40.00, 40.00, -0.03, 0.03
87, 536, 527, 9.00, 313, 313, 0.00, 360.00, 0.00, 0.22, 0.00
88, 539, 524, 15.00, 313, 313, 1.00, 600.00, 40.00, 0.37, 0.03
89, 539, 525, 14.00, 313, 313, 0.00, 1160.00, 40.00, -0.03, -0.03
90, 539, 495, 44.00, 313, 296, 18.00, 2920.00, 760.00, 0.75, 0.45
91, 539, 556, -17.00, 313, 315, -2.00, 2240.00, 680.00, -1.52, -0.50
